section_name,Shape,Thickness,D_bot,B_bottom,H,B_top,D_top,Bottom_lip_angle,Bottom_flange_angle,Web_angle,Top_flange_angle,Top lip_angle,r1,r2,r3,r4
Z6x3.0 092,Z,0.092,0.5,3,6,3,0.5,-55,0,90,0,-55,0.276,0.276,0.276,0.276
Z8x2.0 060,Z,0.06,0.75,2,8,2,0.75,-55,0,90,0,-55,0.18,0.18,0.18,0.18
Z8x2.375 059,Z,0.059,0.75,2.375,8,2.375,0.75,-55,0,90,0,-55,0.18,0.18,0.18,0.18
Z8x2.5 054,Z,0.054,1,2.5,8,2.5,1,-55,0,90,0,-55,0.2415,0.2415,0.2415,0.2415
Z8x2.5 059,Z,0.059,1,2.5,8,2.5,1,-55,0,90,0,-55,0.177,0.177,0.177,0.177
Z8x2.5 060,Z,0.06,1,2.5,8,2.5,1,-55,0,90,0,-55,0.18,0.18,0.18,0.18
Z8x80_70 060,Z,0.06,1,2.75,8,3.2,1,-55,0,90,0,-55,0.18,0.18,0.18,0.18
Z8x70_80 060,Z,0.06,1,3.2,8,2.75,1,-55,0,90,0,-55,0.18,0.18,0.18,0.18
Z8x2.5 067,Z,0.067,1,2.5,8,2.5,1,-55,0,90,0,-55,0.2545,0.2545,0.2545,0.2545
Z8x2.5 068 0.75 lip,Z,0.068,0.75,2.5,8,2.5,0.75,-55,0,90,0,-55,0.204,0.204,0.204,0.204
Z8x2.5 078 0.75 lip,Z,0.078,0.75,2.5,8,2.5,0.75,-55,0,90,0,-55,0.234,0.234,0.234,0.234
Z8x2.5 071 0.75,Z,0.071,0.75,2.5,8,2.5,0.75,-55,0,90,0,-55,0.2625,0.2625,0.2625,0.2625
Z8x2.5 075,Z,0.075,1,2.5,8,2.5,1,-55,0,90,0,-55,0.2625,0.2625,0.2625,0.2625
Z8x2.5 079,Z,0.079,1,2.5,8,2.5,1,-55,0,90,0,-55,0.2625,0.2625,0.2625,0.2625
Z8x2.5 082,Z,0.082,1,2.5,8,2.5,1,-55,0,90,0,-55,0.246,0.246,0.246,0.246
Z8x2.5 089,Z,0.089,1,2.5,8,2.5,1,-55,0,90,0,-55,0.2765,0.2765,0.2765,0.2765
Z8x2.5 099,Z,0.099,1,2.5,8,2.5,1,-55,0,90,0,-55,0.2865,0.2865,0.2865,0.2865
Z8x2.5 105,Z,0.105,1,2.5,8,2.5,1,-55,0,90,0,-55,0.2925,0.2925,0.2925,0.2925
Z8x3.0 105,Z,0.105,1,3,8,3,1,-55,0,90,0,-55,0.2925,0.2925,0.2925,0.2925
Z8.5x2.5 059,Z,0.059,1,2.5,8.5,2.5,1,-55,0,90,0,-55,0.177,0.177,0.177,0.177
Z8.5x2.5 073,Z,0.073,1,2.5,8.5,2.5,1,-55,0,90,0,-55,0.219,0.219,0.219,0.219
Z8.5x2.5 082,Z,0.082,1,2.5,8.5,2.5,1,-55,0,90,0,-55,0.246,0.246,0.246,0.246
Z9.5x2.5 060,Z,0.06,0.75,2.5,9.5,2.5,0.75,-55,0,90,0,-55,0.2475,0.2475,0.2475,0.2475
Z10x2.5 060,Z,0.06,1,2.5,10,2.5,1,-55,0,90,0,-55,0.2475,0.2475,0.2475,0.2475
Z10x2.5 067,Z,0.067,1,2.5,10,2.5,1,-55,0,90,0,-55,0.2545,0.2545,0.2545,0.2545
Z10x2.5 075,Z,0.075,1,2.5,10,2.5,1,-55,0,90,0,-55,0.2625,0.2625,0.2625,0.2625
Z10x2.5 089,Z,0.089,1,2.5,10,2.5,1,-55,0,90,0,-55,0.2765,0.2765,0.2765,0.2765
Z10x2.5 099,Z,0.099,1,2.5,10,2.5,1,-55,0,90,0,-55,0.2865,0.2865,0.2865,0.2865
Z10x2.5 105,Z,0.105,1,2.5,10,2.5,1,-55,0,90,0,-55,0.2925,0.2925,0.2925,0.2925
Z10x2.5 120,Z,0.12,1,2.5,10,2.5,1,-55,0,90,0,-55,0.3075,0.3075,0.3075,0.3075
Z10x2.75 060,Z,0.06,1,2.75,10,2.75,1,-55,0,90,0,-55,0.2475,0.2475,0.2475,0.2475
Z10x3.5 060,Z,0.06,1,3.5,10,3.5,1,-55,0,90,0,-55,0.2475,0.2475,0.2475,0.2475
Z12x2.5 075,Z,0.075,1.1,3.5,12,3.5,1.1,-55,0,90,0,-55,0.2625,0.2625,0.2625,0.2625
Z12x2.5 089,Z,0.089,1.1,3.5,12,3.5,1.1,-55,0,90,0,-55,0.2765,0.2765,0.2765,0.2765
Z12x2.5 099,Z,0.099,1.1,3.5,12,3.5,1.1,-55,0,90,0,-55,0.2865,0.2865,0.2865,0.2865
